ticker,name,sector,market_cap_class
7803.T,ブシロード,その他製品,-
7806.T,ＭＴＧ,その他製品,-
8938.T,グローム・ホールディングス,不動産業,-
9158.T,シーユーシー,サービス業,-
9159.T,Ｗ　ＴＯＫＹＯ,サービス業,-
9162.T,ブリーチ,サービス業,-
9163.T,ナレルグループ,サービス業,-
9165.T,クオルテック,サービス業,-
9166.T,ＧＥＮＤＡ,サービス業,-
9168.T,ライズ・コンサルティング・グループ,サービス業,-
9204.T,スカイマーク,空運業,-
9211.T,エフ・コード,サービス業,-
9212.T,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,サービス業,-
9214.T,Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,サービス業,-
9215.T,ＣａＳｙ,サービス業,-
9218.T,メンタルヘルステクノロジーズ,サービス業,-
9219.T,ギックス,サービス業,-
9223.T,ＡＳＮＯＶＡ,サービス業,-
9225.T,ブリッジコンサルティンググループ,サービス業,-
9227.T,マイクロ波化学,サービス業,-
9235.T,売れるネット広告社グループ,サービス業,-
9236.T,ジャパンＭ＆Ａソリューション,サービス業,-
9237.T,笑美面,サービス業,-
9238.T,バリュークリエーション,サービス業,-
9240.T,デリバリーコンサルティング,サービス業,-
9241.T,フューチャーリンクネットワーク,サービス業,-
9242.T,メディア総研,サービス業,-
9244.T,デジタリフト,サービス業,-
9245.T,リベロ,サービス業,-
9246.T,プロジェクトホールディングス,サービス業,-
9250.T,ＧＲＣＳ,サービス業,-
9251.T,ＡＢ＆Ｃｏｍｐａｎｙ,サービス業,-
9252.T,ラストワンマイル,サービス業,-
9253.T,スローガン,サービス業,-
9254.T,ラバブルマーケティンググループ,サービス業,-
9256.T,サクシード,サービス業,-
9258.T,ＣＳ－Ｃ,サービス業,-
