sec_code,edinet_code
61380,E01488
61250,E01493
61340,E01495
61350,E01496
61400,E01499
61410,E01502
61420,E01503
61430,E01504
62780,E01505
61460,E01506
61470,E01507
61500,E01508
61510,E01509
61550,E01510
61580,E01511
62010,E01514
62030,E01515
62080,E01518
62180,E01521
62170,E01524
62100,E01528
63910,E01529
62220,E01531
63010,E01532
63020,E01533
63600,E01534
63310,E01536
63320,E01537
63340,E01538
63350,E01539
63390,E01541
63610,E01542
63650,E01544
61180,E01545
63780,E01546
63420,E01547
62450,E01548
61110,E01550
63830,E01551
63810,E01554
63100,E01563
63160,E01568
63660,E01569
63670,E01570
63680,E01571
63690,E01572
63700,E01573
19630,E01575
63790,E01577
63710,E01578
63800,E01581
63900,E01583
63170,E01584
63050,E01585
77190,E01587
67280,E01589
64360,E01590
63760,E01591
72590,E01593
64480,E01594
64450,E01595
64400,E01596
64630,E01599
64710,E01600
64720,E01601
64730,E01602
64740,E01603
64790,E01607
64920,E01609
63580,E01610
63930,E01612
63950,E01613
63250,E01617
63430,E01620
64060,E01622
64950,E01624
63820,E01627
62460,E01628
63460,E01629
45430,E01630
64800,E01631
63570,E01632
63960,E01635
63630,E01636
62820,E01642
62470,E01643
72550,E01644
64900,E01645
64030,E01646
64080,E01647
64940,E01648
64960,E01649
64570,E01650
63470,E01651
64970,E01652
64550,E01653
64650,E01654
79860,E01656
63450,E01657
59460,E01659
64980,E01660
63300,E01661
63510,E01662
63640,E01663
63400,E01666
63490,E01667
64580,E01669
62720,E01670
64890,E01672
62730,E01673
62760,E01675
62770,E01676
62790,E01677
64810,E01678
62840,E01682
64880,E01683
62860,E01684
62870,E01685
98950,E01686
59530,E01688
62890,E01690
61490,E01692
64850,E01693
62920,E01694
62940,E01696
64180,E01698
63070,E01704
63090,E01705
63150,E01708
64820,E01710
63220,E01711
63240,E01712
63270,E01713
63280,E01714
63380,E01715
64660,E01716
68340,E01717
64280,E01718
63840,E01719
64020,E01721
64320,E01723
64050,E01724
62690,E01725
62680,E01726
64330,E01727
62650,E01728
61570,E01729
61610,E01730
62620,E01731
62580,E01733
62550,E01734
62540,E01735
65010,E01737
65030,E01739
65040,E01740
65060,E01741
65050,E01742
65070,E01743
65080,E01744
66430,E01747
66230,E01748
66220,E01750
65130,E01751
66440,E01752
65840,E01753
66480,E01754
66450,E01755
65900,E01757
65170,E01758
66510,E01759
66530,E01760
63330,E01761
66370,E01764
67010,E01765
67020,E01766
67030,E01767
67410,E01769
67420,E01770
67520,E01772
67530,E01773
67540,E01774
67580,E01777
67620,E01780
67630,E01782
67680,E01786
67070,E01790
67700,E01793
67750,E01795
67940,E01797
68480,E01798
67450,E01802
67440,E01803
67980,E01805
65160,E01806
67790,E01807
68000,E01808
67720,E01811
67760,E01813
68040,E01815
67430,E01816
69890,E01817
67710,E01819
68820,E01821
69760,E01824
68070,E01828
68090,E01831
79440,E01834
68140,E01839
69860,E01841
68230,E01842
68640,E01847
67180,E01849
68200,E01850
18320,E01855
69050,E01856
69040,E01857
68220,E01859
68380,E01864
68350,E01867
67770,E01870
67240,E01873
66750,E01874
66590,E01875
68410,E01878
68450,E01879
69230,E01880
65880,E01884
69010,E01885
68440,E01887
69880,E01888
69930,E01891
69020,E01892
69550,E01896
67060,E01897
69950,E01898
69940,E01899
68560,E01901
69990,E01902
68490,E01903
69960,E01904
69510,E01905
69770,E01906
69980,E01907
64070,E01909
66470,E01912
64440,E01913
69810,E01914
69820,E01916
65860,E01920
68530,E01921
69970,E01926
69260,E01928
69250,E01929
61440,E01930
68030,E01932
69690,E01933
69520,E01935
68060,E01939
68460,E01940
65920,E01944
69540,E01946
68100,E01947
68570,E01950
66520,E01951
69620,E01952
69630,E01953
69640,E01954
69650,E01955
97660,E01956
69580,E01959
64590,E01961
69470,E01966
68610,E01967
69460,E01968
68170,E01971
69430,E01974
65940,E01975
68620,E01977
69420,E01978
69410,E01979
61450,E01981
67480,E01984
69320,E01986
68190,E01987
69290,E01988
69280,E01989
69200,E01991
69190,E01992
69180,E01993
69150,E01995
77110,E01997
69140,E01998
68660,E01999
79310,E02002
69120,E02004
68670,E02005
64200,E02006
66540,E02007
62980,E02008
69080,E02009
74350,E02011
65180,E02012
68990,E02013
68690,E02015
68980,E02016
68970,E02017
68700,E02020
68940,E02021
68900,E02024
64240,E02025
68240,E02027
66550,E02028
68710,E02030
68740,E02039
68770,E02040
68750,E02042
68550,E02043
68400,E02045
78590,E02046
63360,E02047
68370,E02048
63370,E02049
68320,E02051
67970,E02055
67870,E02056
67860,E02057
67850,E02058
67270,E02059
63870,E02060
67690,E02062
67570,E02065
67500,E02066
67370,E02069
67360,E02070
67340,E02072
64300,E02073
67310,E02075
69270,E02076
67300,E02077
67230,E02081
67210,E02083
66760,E02086
66740,E02089
66700,E02090
66680,E02092
